Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
617,Mäo,Mäo,Järva maakond,Estonia,Dismantled/Not built,Closed,1972,58.918214,25.61138,,4,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
618,Vodja,Viisu,Järva maakond,Estonia,Residential,Closed,1972,58.93801,25.647029,,5,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
619,Esna,Esna,Järva maakond,Estonia,Residential,Closed,1972,58.97191,25.776685,,6,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
620,Järva-Jaani,Järva-Jaani,Järva maakond,Estonia,Residential,Closed,1972,59.039923,25.885846,,7,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
621,Võhmuta,Võhmuta,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.088558,25.958714,,8,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
622,Vajangu,Vajangu,Lääne-Viru maakond,Estonia,Residential,Closed,1972,59.110532,26.016347,,9,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
623,Tamsalu,Tamsalu,Lääne-Viru maakond,Estonia,Active,Operational,2024,59.160123,26.112008,,10,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
614,Türi,Türi,Järva maakond,Estonia,Active,Operational,2024,58.80476,25.424001,,0,108,Tallinn—Viljandi,1901,1520 mm,Operational,1973,Until 1973 - 750 mm gauge,FALSE
623,Tamsalu,Tamsalu,Lääne-Viru maakond,Estonia,Active,Operational,2024,59.160123,26.112008,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
624,Narva,Narva,Ida-Viru maakond,Estonia,Active,Operational,2024,59.368694,28.199648,,1,41,Narva—Musta,1969,1520 mm,Dismantled,2001,Rail line between Auvere and power plant dismantled,FALSE
